Title,Description,Year Released
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,2010
The Matrix,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,1999
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2014
The Prestige,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,2006
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006
The Green Mile,The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.,1999
The Social Network,As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.,2010
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1972
The Shawshank Redemption,Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.,1994
The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,2008
Forrest Gump,The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.,1994
Schindler's List,In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.,1993
Fight Club,An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.,1999
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001
The Lord of the Rings: The Two Towers,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.,2002
The Good, the Bad and the Ugly,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966
